ID,Nombre Formateado,Categoría Calificación,Década,Puntuación Ajustada,Fecha Procesamiento
1,interstellar,Mala,NaNs,NaN,2025-03-13
2,the-shawshank-redemption,Mala,NaNs,NaN,2025-03-13
3,jurassic-park,Regular,NaNs,NaN,2025-03-13
4,the-matrix,Regular,NaNs,NaN,2025-03-13
5,the-social-network,Buena,NaNs,NaN,2025-03-13
6,schindler's-list,Buena,NaNs,NaN,2025-03-13
7,star-wars,Regular,NaNs,NaN,2025-03-13
8,the-lion-king,Regular,NaNs,NaN,2025-03-13
9,interstellar,Mala,NaNs,NaN,2025-03-13
10,the-grand-budapest-hotel,Regular,NaNs,NaN,2025-03-13
11,the-silence-of-the-lambs,Mala,NaNs,NaN,2025-03-13
12,spider-man:-no-way-home,Regular,NaNs,NaN,2025-03-13
13,spider-man:-no-way-home,Buena,NaNs,NaN,2025-03-13
14,django-unchained,Buena,NaNs,NaN,2025-03-13
15,star-wars,Buena,NaNs,NaN,2025-03-13
16,spider-man:-no-way-home,Regular,NaNs,NaN,2025-03-13
17,the-godfather,Mala,NaNs,NaN,2025-03-13
18,schindler's-list,Mala,NaNs,NaN,2025-03-13
19,interstellar,Buena,NaNs,NaN,2025-03-13
20,the-grand-budapest-hotel,Buena,NaNs,NaN,2025-03-13
21,mad-max:-fury-road,Mala,NaNs,NaN,2025-03-13
22,spider-man:-no-way-home,Regular,NaNs,NaN,2025-03-13
23,the-social-network,Buena,NaNs,NaN,2025-03-13
24,toy-story,Mala,NaNs,NaN,2025-03-13
25,the-lion-king,Mala,NaNs,NaN,2025-03-13
26,star-wars,Buena,NaNs,NaN,2025-03-13
27,finding-nemo,Mala,NaNs,NaN,2025-03-13
28,the-dark-knight,Mala,NaNs,NaN,2025-03-13
29,pulp-fiction,Regular,NaNs,NaN,2025-03-13
30,the-lion-king,Buena,NaNs,NaN,2025-03-13
31,the-shawshank-redemption,Buena,NaNs,NaN,2025-03-13
32,the-lord-of-the-rings,Buena,NaNs,NaN,2025-03-13
33,interstellar,Mala,NaNs,NaN,2025-03-13
34,pulp-fiction,Buena,NaNs,NaN,2025-03-13
35,finding-nemo,Buena,NaNs,NaN,2025-03-13
36,forrest-gump,Mala,NaNs,NaN,2025-03-13
37,avengers:-endgame,Buena,NaNs,NaN,2025-03-13
38,the-grand-budapest-hotel,Mala,NaNs,NaN,2025-03-13
39,toy-story,Regular,NaNs,NaN,2025-03-13
40,the-grand-budapest-hotel,Mala,NaNs,NaN,2025-03-13
41,schindler's-list,Buena,NaNs,NaN,2025-03-13
42,parasite,Regular,NaNs,NaN,2025-03-13
43,titanic,Buena,NaNs,NaN,2025-03-13
44,mad-max:-fury-road,Buena,NaNs,NaN,2025-03-13
45,whiplash,Mala,NaNs,NaN,2025-03-13
46,spider-man:-no-way-home,Mala,NaNs,NaN,2025-03-13
47,the-godfather,Regular,NaNs,NaN,2025-03-13
48,jurassic-park,Regular,NaNs,NaN,2025-03-13
49,django-unchained,Buena,NaNs,NaN,2025-03-13
50,fight-club,Mala,NaNs,NaN,2025-03-13
51,interstellar,Buena,NaNs,NaN,2025-03-13
52,the-lion-king,Mala,NaNs,NaN,2025-03-13
53,coco,Mala,NaNs,NaN,2025-03-13
54,fight-club,Mala,NaNs,NaN,2025-03-13
55,fight-club,Mala,NaNs,NaN,2025-03-13
56,interstellar,Buena,NaNs,NaN,2025-03-13
57,jurassic-park,Buena,NaNs,NaN,2025-03-13
58,jurassic-park,Mala,NaNs,NaN,2025-03-13
59,whiplash,Mala,NaNs,NaN,2025-03-13
60,gladiator,Buena,NaNs,NaN,2025-03-13
61,braveheart,Regular,NaNs,NaN,2025-03-13
62,coco,Mala,NaNs,NaN,2025-03-13
63,finding-nemo,Regular,NaNs,NaN,2025-03-13
64,braveheart,Mala,NaNs,NaN,2025-03-13
65,django-unchained,Mala,NaNs,NaN,2025-03-13
66,inception,Regular,NaNs,NaN,2025-03-13
67,the-lord-of-the-rings,Regular,NaNs,NaN,2025-03-13
68,forrest-gump,Regular,NaNs,NaN,2025-03-13
69,the-revenant,Buena,NaNs,NaN,2025-03-13
70,the-dark-knight,Mala,NaNs,NaN,2025-03-13
71,pulp-fiction,Buena,NaNs,NaN,2025-03-13
72,titanic,Buena,NaNs,NaN,2025-03-13
73,the-revenant,Mala,NaNs,NaN,2025-03-13
74,schindler's-list,Mala,NaNs,NaN,2025-03-13
75,the-godfather,Mala,NaNs,NaN,2025-03-13
76,the-silence-of-the-lambs,Mala,NaNs,NaN,2025-03-13
77,the-lion-king,Buena,NaNs,NaN,2025-03-13
78,avengers:-endgame,Mala,NaNs,NaN,2025-03-13
79,the-godfather,Regular,NaNs,NaN,2025-03-13
80,spider-man:-no-way-home,Mala,NaNs,NaN,2025-03-13
81,the-matrix,Buena,NaNs,NaN,2025-03-13
82,star-wars,Mala,NaNs,NaN,2025-03-13
83,the-shawshank-redemption,Buena,NaNs,NaN,2025-03-13
84,the-matrix,Buena,NaNs,NaN,2025-03-13
85,fight-club,Regular,NaNs,NaN,2025-03-13
86,the-shawshank-redemption,Mala,NaNs,NaN,2025-03-13
87,the-lion-king,Mala,NaNs,NaN,2025-03-13
88,star-wars,Mala,NaNs,NaN,2025-03-13
